0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
read,write,open,close,newstat,newfstat,newlstat,poll,lseek,mmap,mprotect,munmap,brk,rt_sigaction,rt_sigprocmask,rt_sigreturn,ioctl,pread64,pwrite64,readv,writev,access,pipe,select,sched_yield,mremap,msync,mincore,madvise,shmget,shmat,shmctl,dup,dup2,pause,nanosleep,getitimer,alarm,setitimer,getpid,sendfile64,socket,connect,accept,sendto,recvfrom,sendmsg,recvmsg,shutdown,bind,listen,getsockname,getpeername,socketpair,setsockopt,getsockopt,clone,fork,vfork,execve,exit,wait4,kill,newuname,semget,semop,semctl,shmdt,msgget,msgsnd,msgrcv,msgctl,fcntl,flock,fsync,fdatasync,truncate,ftruncate,getdents,getcwd,chdir,fchdir,rename,mkdir,rmdir,creat,link,unlink,symlink,readlink,chmod,fchmod,chown,fchown,lchown,umask,gettimeofday,getrlimit,getrusage,sysinfo,times,ptrace,getuid,syslog,getgid,setuid,setgid,geteuid,getegid,setpgid,getppid,getpgrp,setsid,setreuid,setregid,getgroups,setgroups,setresuid,getresuid,setresgid,getresgid,getpgid,setfsuid,setfsgid,getsid,capget,capset,rt_sigpending,rt_sigtimedwait,rt_sigqueueinfo,rt_sigsuspend,sigaltstack,utime,mknod,Unknown,personality,ustat,statfs,fstatfs,sysfs,getpriority,setpriority,sched_setparam,sched_getparam,sched_setscheduler,sched_getscheduler,sched_get_priority_max,sched_get_priority_min,sched_rr_get_interval,mlock,munlock,mlockall,munlockall,vhangup,modify_ldt,pivot_root,Unknown,prctl,arch_prctl,adjtimex,setrlimit,chroot,sync,acct,settimeofday,mount,umount,swapon,swapoff,reboot,sethostname,setdomainname,iopl,ioperm,Unknown,init_module,delete_module,Unknown,Unknown,quotactl,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gettid,readahead,setxattr,lsetxattr,fsetxattr,getxattr,lgetxattr,fgetxattr,listxattr,llistxattr,flistxattr,removexattr,lremovexattr,fremovexattr,tkill,time,futex,sched_setaffinity,sched_getaffinity,Unknown,io_setup,io_destroy,io_getevents,io_submit,io_cancel,Unknown,Unknown,epoll_create,Unknown,Unknown,remap_file_pages,getdents64,set_tid_address,restart_syscall,semtimedop,fadvise64,timer_create,timer_settime,timer_gettime,timer_getoverrun,timer_delete,clock_settime,clock_gettime
swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,linkat,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,linkat,linkat,getuid,linkat,swapoff,swapoff,swapoff,linkat,linkat,getuid,linkat,linkat,swapoff,linkat,linkat,swapoff,linkat,swapoff,swapoff,swapoff,linkat,linkat,linkat,linkat,swapoff,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,getuid,linkat,linkat,linkat,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,linkat,swapoff,swapoff,swapoff,linkat,linkat,linkat,linkat,linkat,swapoff,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,getuid,linkat,linkat,swapoff,swapoff,getuid,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,swapoff,linkat,swapoff,linkat,linkat,getuid,linkat,linkat,linkat,swapoff,swapoff,swapoff,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,swapoff,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,linkat,swapoff,swapoff,linkat,linkat,linkat,linkat,swapoff,swapoff,swapoff,linkat,linkat,swapoff,swapoff,linkat,linkat,getuid,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,swapoff,swapoff,linkat,linkat,linkat,swapoff,swapoff,linkat,linkat,getuid,linkat,linkat,swapoff,swapoff,swapoff,linkat,linkat,getuid,linkat,linkat,swapoff,swapoff,swapoff,linkat,linkat,linkat,linkat,linkat,swapoff,swapoff,swapoff,swapoff,linkat,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,swapoff,swapoff,linkat,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,swapoff
newlstat,dup2,newlstat,fchmodat,newlstat,newlstat,newfstat,getuid,fchmod,newlstat,capget,fchmod,close,newfstat,newlstat,fadvise64,lgetxattr,close,llistxattr,close,close,fchmod,getuid,getuid,getuid,newfstat,close,fchmod,capget,llistxattr,newfstat,sched_setparam,newstat,newstat,rt_sigaction,dup2,newfstat,getpriority,mincore,Unknown,mincore,fadvise64,close,close,getuid,sched_setparam,newfstat,getpriority,rt_sigaction,newfstat,sched_setparam,close,rt_sigaction,getuid,sched_setparam,newstat,sched_setparam,dup2,newfstat,getpriority,mincore,Unknown,mincore,fadvise64,close,close,close,close,close,close,close,close,close,close,close,close,fadvise64,mincore,Unknown,mincore,newlstat,fremovexattr,time,newfstat,rt_sigaction,getuid,getuid,getuid,rt_sigaction,getuid,newfstat,getpriority,removexattr,lgetxattr,getpriority,fchmod,newlstat,sched_setparam,newstat,sched_setparam,close,rt_sigaction,getuid,newstat,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read
swapoff,linkat,close,close,linkat,linkat,swapoff,linkat,close,swapoff,linkat,linkat,linkat,swapoff,close,sched_get_priority_max,linkat,close,swapoff,linkat,swapoff,linkat,close,close,swapoff,close,swapoff,swapoff,linkat,swapoff,linkat,close,linkat,llistxattr,getdents,linkat,linkat,linkat,close,linkat,close,linkat,linkat,close,sched_get_priority_max,sched_get_priority_max,swapoff,swapoff,swapoff,getdents,newlstat,swapoff,linkat,swapoff,swapoff,close,linkat,swapoff,linkat,close,sched_get_priority_max,swapoff,linkat,swapoff,close,swapoff,swapoff,linkat,linkat,linkat,swapoff,swapoff,linkat,close,close,linkat,close,linkat,getdents,linkat,getdents,close,close,linkat,swapoff,swapoff,linkat,swapoff,dup3,swapoff,linkat,close,swapoff,getdents,close,swapoff,swapoff,close,swapoff,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read
process_vm_writev,mq_open,mq_open,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,newlstat,getdents,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,getdents,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,getdents,getdents,getdents,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,getdents,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,getdents,getdents,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read
removexattr,capget,writev,recvfrom,newfstat,connect,getresgid,close,close,setregid,connect,getresgid,connect,getresgid,newlstat,setregid,llistxattr,getresgid,Unknown,setregid,llistxattr,getresgid,newlstat,connect,getresgid,close,llistxattr,connect,getresgid,close,llistxattr,getresgid,setregid,llistxattr,getresgid,setregid,getresgid,getresgid,setregid,llistxattr,connect,getresgid,newlstat,close,getresgid,newlstat,close,llistxattr,getresgid,newlstat,getresgid,setregid,fadvise64,newlstat,newstat,getresgid,connect,newlstat,getresgid,setregid,setregid,getresgid,newlstat,getresgid,setregid,getresgid,getresgid,setregid,getresgid,setregid,llistxattr,connect,getresgid,newlstat,getresgid,close,setregid,getresgid,getresgid,setregid,getresgid,fadvise64,setregid,connect,getresgid,newlstat,setregid,getresgid,getresgid,setregid,llistxattr,getresgid,newlstat,newlstat,close,llistxattr,getresgid,newlstat,setregid,getresgid,fadvise64,newstat,newuname,getresgid,newlstat,newlstat,setregid,setregid,connect,getresgid,getresgid,setregid,getresgid,getresgid,setregid,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read
newlstat,munmap,recvfrom,fadvise64,fadvise64,fadvise64,dup2,dup2,lgetxattr,dup2,newfstat,removexattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,lgetxattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,newlstat,lgetxattr,mq_timedreceive,capget,capget,capget,capget,capget,capget,capget,capget,capget,capget,capget,fchmod,mkdirat,process_vm_writev,mq_open,mq_open,Unknown,Unknown,init_module,getxattr,setfsuid,pivot_root,prctl,symlinkat,setrlimit,adjtimex,adjtimex,recvfrom,recvfrom,getdents,newfstat,newfstat,removexattr,lgetxattr,close,close,newlstat,fchmod,getuid,getuid,fadvise64,fadvise64,time,getuid,Unknown,swapoff,getuid,getuid,swapoff,close,swapoff,getuid,swapoff,close,swapoff,getuid,swapoff,getuid,linkat,swapoff,getuid,getuid,getuid,linkat,swapoff,getuid,getuid,getuid,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read
linkat,accept,close,linkat,accept,swapoff,accept,swapoff,linkat,swapoff,close,swapoff,linkat,linkat,accept,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,linkat,linkat,swapoff,close,linkat,swapoff,linkat,linkat,linkat,linkat,swapoff,swapoff,swapoff,swapoff,swapoff,linkat,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,close,linkat,accept,close,linkat,linkat,swapoff,swapoff,swapoff,linkat,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,swapoff,accept,swapoff,accept,accept,swapoff,swapoff,swapoff,linkat,close,swapoff,close,swapoff,swapoff,linkat,linkat,swapoff,linkat,swapoff,llistxattr,Unknown,close,swapoff,linkat,close,swapoff,close,linkat,swapoff,close,swapoff,linkat,linkat,close,close,linkat,swapoff,swapoff,swapoff,accept,swapoff,swapoff,close,close,linkat,linkat,swapoff,swapoff,swapoff,swapoff,swapoff,close,swapoff,swapoff,swapoff,swapoff,linkat,swapoff,accept,accept,accept,swapoff,swapoff,swapoff,close,linkat,swapoff,close,accept,close,swapoff,linkat,linkat,linkat,linkat,swapoff,linkat,linkat,linkat,swapoff,close,swapoff,swapoff,swapoff,close,close,swapoff,close,swapoff,swapoff,linkat,close,swapoff,swapoff,swapoff,linkat,swapoff,linkat,linkat,swapoff,linkat,accept,close,linkat,accept,close,swapoff,swapoff,swapoff,accept,swapoff,swapoff,swapoff,swapoff,close,swapoff,Unknown,linkat,linkat,linkat,linkat,linkat,accept,close,swapoff,close,linkat,close,swapoff,linkat,linkat,linkat,linkat,llistxattr,linkat,linkat,close,swapoff,swapoff,swapoff,accept,swapoff,linkat,accept,close,linkat,accept,swapoff,linkat
newlstat,Unknown,Unknown,Unknown,munmap,recvfrom,dup2,lgetxattr,dup2,newfstat,removexattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,lgetxattr,newlstat,lgetxattr,mq_timedreceive,capget,capget,capget,fchmod,writev,Unknown,time,recvfrom,recvfrom,semget,llistxattr,llistxattr,newfstat,fadvise64,newlstat,fadvise64,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,close,connect,getresgid,newlstat,close,close,setregid,newlstat,setregid,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,llistxattr,llistxattr,llistxattr,llistxattr,getresgid,setregid,newuname,newlstat,newuname,newlstat,newfstat,fadvise64,newlstat,fadvise64,close,close,llistxattr,newfstat,fadvise64,newlstat,fadvise64,close,close,newlstat,close,newlstat,llistxattr,time,newfstat,fadvise64,newlstat,fadvise64,close,close,newlstat,setsockopt,llistxattr,time,llistxattr,time,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname,newlstat,newuname,newlstat,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname,newlstat,newuname,newlstat,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname,newlstat,newuname,newlstat,connect,getresgid,newlstat,close,close,newlstat,setregid,connect,getresgid,newlstat,close,close,newlstat,setregid,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,llistxattr,llistxattr,llistxattr,llistxattr,getresgid,setregid,newuname,newlstat,newuname,newlstat,llistxattr,llistxattr,llistxattr,llistxattr,llistxattr,getresgid,setregid,llistxattr,time,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname,newlstat,newuname,newlstat,setsockopt,llistxattr,time,llistxattr,time,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname
newlstat,Unknown,Unknown,Unknown,munmap,recvfrom,dup2,lgetxattr,dup2,newfstat,removexattr,lgetxattr,newlstat,dup2,newfstat,close,removexattr,lgetxattr,lgetxattr,lgetxattr,newlstat,lgetxattr,mq_timedreceive,capget,capget,capget,fchmod,writev,Unknown,time,recvfrom,recvfrom,semget,llistxattr,llistxattr,newfstat,fadvise64,newlstat,fadvise64,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,close,llistxattr,time,newfstat,fadvise64,newlstat,fadvise64,close,close,llistxattr,newfstat,fadvise64,newlstat,fadvise64,close,close,newlstat,close,newlstat,llistxattr,newfstat,fadvise64,newlstat,fadvise64,close,close,newlstat,setsockopt,llistxattr,time,llistxattr,time,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname,newlstat,newuname,newlstat,newfstat,fadvise64,newlstat,fadvise64,newuname,newlstat,fadvise64,newlstat,fadvise64,newuname,getresgid,setregid,newuname,newlstat,newuname,newlstat,connect,getresgid,newlstat,close,close,newlstat,setregid,connect,getresgid,newlstat,close,close,newlstat,setregid,newstat,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read,read
