0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228
168,168,168,168,168,168,265,168,168,168,168,168,168,265,265,102,265,168,168,168,265,265,102,265,265,168,265,265,168,265,168,168,168,265,265,265,265,168,168,265,265,265,265,168,265,265,265,265,168,265,265,265,265,168,265,265,102,265,265,265,168,168,168,168,168,168,265,168,168,168,265,265,265,265,265,168,168,265,265,265,265,168,265,265,102,265,265,168,168,102,265,265,168,265,265,265,265,168,168,265,168,265,265,102,265,265,265,168,168,168,265,265,168,265,265,265,265,168,168,168,265,265,265,265,168,265,265,265,265,265,168,168,265,265,265,265,168,168,168,265,265,168,168,265,265,102,265,168,265,265,265,265,168,168,265,265,265,265,168,265,168,168,265,265,265,168,168,265,265,102,265,265,168,168,168,265,265,102,265,265,168,168,168,265,265,265,265,265,168,168,168,168,265,265,265,265,265,168,265,265,265,265,168,265,265,265,265,168,265,265,265,265,168,265,168,168,265,265,265,265,265,168,265,265,265,265,168,265,168
6,33,6,268,6,6,5,102,91,6,125,91,3,5,6,221,192,3,195,3,3,91,102,102,102,5,3,91,125,195,5,142,4,4,13,33,5,140,27,174,27,221,3,3,102,142,5,140,13,5,142,3,13,102,142,4,142,33,5,140,27,174,27,221,3,3,3,3,3,3,3,3,3,3,3,3,221,27,174,27,6,199,201,5,13,102,102,102,13,102,5,140,197,192,140,91,6,142,4,142,3,13,102,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,265,3,3,265,265,168,265,3,168,265,265,265,168,3,146,265,3,168,265,168,265,3,3,168,3,168,168,265,168,265,3,265,195,78,265,265,265,3,265,3,265,265,3,146,146,168,168,168,78,6,168,265,168,168,3,265,168,265,3,146,168,265,168,3,168,168,265,265,265,168,168,265,3,3,265,3,265,78,265,78,3,3,265,168,168,265,168,292,168,265,3,168,78,3,168,168,3,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,240,240,6,6,6,6,6,6,6,6,6,6,6,6,6,78,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,78,180,180,180,180,180,180,180,180,180,180,180,180,180,180,78,78,78,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,78,180,180,180,180,180,180,180,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,125,20,45,5,42,120,3,3,114,42,120,42,120,6,114,195,120,174,114,195,120,6,42,120,3,195,42,120,3,195,120,114,195,120,114,120,120,114,195,42,120,6,3,120,6,3,195,120,6,120,114,221,6,4,120,42,6,120,114,114,120,6,120,114,120,120,114,120,114,195,42,120,6,120,3,114,120,120,114,120,221,114,42,120,6,114,120,120,114,195,120,6,6,3,195,120,6,114,120,221,4,63,120,6,6,114,114,42,120,120,114,120,120,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,45,221,221,221,33,33,192,33,5,197,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,6,33,5,3,197,192,192,192,192,6,33,5,3,197,192,192,6,192,243,125,125,125,125,125,125,125,125,125,125,125,91,258,311,240,240,174,174,175,191,122,155,157,266,160,159,159,45,45,78,5,5,197,192,3,3,6,91,102,102,221,221,201,102,174,168,102,102,168,3,168,102,168,3,168,102,168,102,265,168,102,102,102,265,168,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,43,3,265,43,168,43,168,265,168,3,168,265,265,43,168,168,168,168,168,168,168,168,168,168,168,168,168,265,265,168,3,265,168,265,265,265,265,168,168,168,168,168,265,168,168,168,168,168,168,168,168,168,168,168,168,3,265,43,3,265,265,168,168,168,265,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,43,168,43,43,168,168,168,265,3,168,3,168,168,265,265,168,265,168,195,340,3,168,265,3,168,3,265,168,3,168,265,265,3,3,265,168,168,168,43,168,168,3,3,265,265,168,168,168,168,168,3,168,168,168,168,265,168,43,43,43,168,168,168,3,265,168,3,43,3,168,265,265,265,265,168,265,265,265,168,3,168,168,168,3,3,168,3,168,168,265,3,168,168,168,265,168,265,265,168,265,43,3,265,43,3,168,168,168,43,168,168,168,168,3,168,340,265,265,265,265,265,43,3,168,3,265,3,168,265,265,265,265,195,265,265,3,168,168,168,43,168,265,43,3,265,43,168,265
6,174,174,174,11,45,33,192,33,5,197,192,6,33,5,3,197,192,192,192,6,192,243,125,125,125,91,20,174,201,45,45,64,195,195,5,221,6,221,174,174,174,174,174,174,3,42,120,6,3,3,114,6,114,5,221,6,221,63,6,221,6,221,63,195,195,195,195,120,114,63,6,63,6,5,221,6,221,3,3,195,5,221,6,221,3,3,6,3,6,195,201,5,221,6,221,3,3,6,54,195,201,195,201,5,221,6,221,63,6,221,6,221,63,120,114,63,6,63,6,5,221,6,221,63,6,221,6,221,63,120,114,63,6,63,6,5,221,6,221,63,6,221,6,221,63,120,114,63,6,63,6,42,120,6,3,3,6,114,42,120,6,3,3,6,114,5,221,6,221,63,6,221,6,221,63,195,195,195,195,120,114,63,6,63,6,195,195,195,195,195,120,114,195,201,5,221,6,221,63,6,221,6,221,63,120,114,63,6,63,6,54,195,201,195,201,5,221,6,221,63,6,221,6,221,63,120,114,63
6,174,174,174,11,45,33,192,33,5,197,192,6,33,5,3,197,192,192,192,6,192,243,125,125,125,91,20,174,201,45,45,64,195,195,5,221,6,221,174,174,174,174,174,174,3,195,201,5,221,6,221,3,3,195,5,221,6,221,3,3,6,3,6,195,5,221,6,221,3,3,6,54,195,201,195,201,5,221,6,221,63,6,221,6,221,63,120,114,63,6,63,6,5,221,6,221,63,6,221,6,221,63,120,114,63,6,63,6,42,120,6,3,3,6,114,42,120,6,3,3,6,114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,5,3,33,192,33,125,125,125,125,91,240,240,240,240,240,240,240,240,5,5,240,140,240,140,140,3,3,195,5,3,6,240,240,140,3,3,3,140,3,91,140,5,140,78,3,140,45,240,140,3,125,3,140,140,140,78,140,78,140,3,140,3,140,3,140,3,140,3,140,3,140,3,140,3,125,3,125,3,125,3,140,3,219,140,3,140,3,140,3,140,140,3,140,3,78,78,78,78,78,140,3,78,78,140,3,140,3,140,3,140,3,140,3,140,3,140,3,140,3,125,3,3,3,140,3,219,140,3,140,3,78,240,240,140,3,140,3,140,3,140,3,140,3,140,3,140,3,140,3,3,3,3,140,140,78,140,3,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
